User,Timestamp,Temperature (C),Humidity (%)
MJ235AA,12/05/2023 01:16:39,24.5,45.0
MJ235AA,12/05/2023 01:16:40,24.5,45.0
MJ235AA,12/05/2023 01:16:41,24.5,46.0
MJ235AA,12/05/2023 01:16:42,24.5,45.0
MJ235AA,12/05/2023 01:16:43,24.5,45.0
MJ235AA,12/05/2023 01:16:44,24.5,45.0
MJ235AA,12/05/2023 01:16:45,24.5,45.0
,,,
MJ235AA,12/05/2023 01:16:49,24.5,45.0
MJ235AA,12/05/2023 01:16:51,24.5,45.0
MJ235AA,12/05/2023 01:16:52,24.5,45.0
MJ235AA,12/05/2023 01:16:53,24.5,45.0
MJ235AA,12/05/2023 01:16:54,24.5,45.0
MJ235AA,12/05/2023 01:16:55,24.5,45.0
,,,
CK523BB,12/05/2023 01:17:49,24.5,45.0
CK523BB,12/05/2023 01:17:50,24.5,45.0
CK523BB,12/05/2023 01:17:51,24.5,45.0
CK523BB,12/05/2023 01:17:52,24.5,45.0
CK523BB,12/05/2023 01:17:53,24.5,45.0
CK523BB,12/05/2023 01:17:54,24.5,45.0
CK523BB,12/05/2023 01:17:55,24.5,45.0
CK523BB,12/05/2023 01:17:56,24.5,45.0
CK523BB,12/05/2023 01:17:57,24.5,45.0
CK523BB,12/05/2023 01:17:58,24.5,45.0
CK523BB,12/05/2023 01:17:59,24.5,45.0
CK523BB,12/05/2023 01:18:00,24.5,45.0
CK523BB,12/05/2023 01:18:01,24.5,45.0
CK523BB,12/05/2023 01:18:02,24.5,45.0
CK523BB,12/05/2023 01:18:03,24.5,45.0
,,,
MJ235AA,12/05/2023 01:34:52,24.5,45.0
MJ235AA,12/05/2023 01:34:53,24.5,45.0
MJ235AA,12/05/2023 01:34:54,24.5,45.0
MJ235AA,12/05/2023 01:34:55,24.5,45.0
MJ235AA,12/05/2023 01:34:56,24.5,45.0
MJ235AA,12/05/2023 01:34:57,24.5,45.0
MJ235AA,12/05/2023 01:34:58,24.5,45.0
MJ235AA,12/05/2023 01:34:59,24.5,45.0
MJ235AA,12/05/2023 01:35:00,24.5,45.0
MJ235AA,12/05/2023 01:35:01,24.5,45.0
MJ235AA,12/05/2023 01:35:02,24.5,45.0
MJ235AA,12/05/2023 01:35:03,24.5,45.0
,,,
CK523BB,12/05/2023 01:39:33,24.6,45.0
CK523BB,12/05/2023 01:39:34,24.5,45.0
CK523BB,12/05/2023 01:39:35,24.5,45.0
CK523BB,12/05/2023 01:39:36,24.5,45.0
CK523BB,12/05/2023 01:39:37,24.5,45.0
CK523BB,12/05/2023 01:39:38,24.5,45.0
CK523BB,12/05/2023 01:39:39,24.5,45.0
CK523BB,12/05/2023 01:39:40,24.5,45.0
CK523BB,12/05/2023 01:39:41,24.5,45.0
CK523BB,12/05/2023 01:39:42,24.5,45.0
,,,
MJ235AA,12/05/2023 02:42:11,24.5,45.0
MJ235AA,12/05/2023 02:42:12,24.5,45.0
MJ235AA,12/05/2023 02:42:13,24.5,45.0
MJ235AA,12/05/2023 02:42:14,24.5,45.0
MJ235AA,12/05/2023 02:42:15,24.5,45.0
MJ235AA,12/05/2023 02:42:16,24.5,45.0
MJ235AA,12/05/2023 02:42:17,24.5,45.0
MJ235AA,12/05/2023 02:42:18,24.5,45.0
MJ235AA,12/05/2023 02:42:19,24.5,45.0
MJ235AA,12/05/2023 02:42:20,24.5,45.0
MJ235AA,12/05/2023 02:42:21,24.5,45.0
MJ235AA,12/05/2023 02:42:22,24.5,45.0
MJ235AA,12/05/2023 02:42:23,24.5,45.0
MJ235AA,12/05/2023 02:42:24,24.5,45.0
MJ235AA,12/05/2023 02:42:25,24.5,45.0
MJ235AA,12/05/2023 02:42:26,24.5,45.0
MJ235AA,12/05/2023 02:42:27,24.5,45.0
MJ235AA,12/05/2023 02:42:28,24.5,45.0
MJ235AA,12/05/2023 02:42:29,24.5,45.0
MJ235AA,12/05/2023 02:42:30,24.5,45.0
,,,
CK523BB,12/05/2023 03:06:50,24.5,45.0
CK523BB,12/05/2023 03:06:51,24.5,45.0
CK523BB,12/05/2023 03:06:52,24.5,45.0
CK523BB,12/05/2023 03:06:53,24.5,45.0
CK523BB,12/05/2023 03:06:54,24.5,45.0
CK523BB,12/05/2023 03:06:55,24.5,45.0
CK523BB,12/05/2023 03:06:56,24.5,45.0
CK523BB,12/05/2023 03:06:57,24.5,45.0
CK523BB,12/05/2023 03:06:58,24.5,45.0
CK523BB,12/05/2023 03:06:59,24.5,45.0
CK523BB,12/05/2023 03:07:00,24.5,45.0
CK523BB,12/05/2023 03:07:01,24.5,45.0
CK523BB,12/05/2023 03:07:02,24.5,45.0
,,,
